SEGMENT,RESTAURANT_COUNT
28398297_N_2,0.0
28398304_E_2,0.0
28398298_S_2,0.0
28398305_N_2,0.0
28398315_NW_2,0.0
28398308_E_2,0.0
28398316_S_2,0.0
28398310_SW_2,0.0
28398311_SE_2,0.0
28398309_NW_2,0.0
28398310_NE_2,0.0
28398311_NW_2,0.0
28398313_SE_2,0.0
28398312_SW_2,0.0
28398315_SE_2,0.0
28398313_NW_2,0.0
28398314_SW_2,0.0
28398312_NE_2,0.0
28398314_NE_2,0.0
28398317_SW_2,0.0
28398320_W_2,0.0
28398319_NW_2,0.0
28398318_SE_2,0.0
28398320_E_2,0.0
28398308_W_2,0.0
28398322_SW_2,0.0
28398321_SE_2,0.0
28398322_NE_2,0.0
28398679_W_2,0.0
1005351881_SE_2,0.0
1005351889_N_2,0.0
28398674_E_2,0.0
28398684_SE_2,0.0
957191258_E_2,0.0
1005351880_W_2,0.0
28398674_W_2,0.0
28398689_NE_2,0.0
28398685_SW_2,0.0
28398675_E_2,0.0
28398681_E_2,0.0
28398682_NE_2,0.0
28398678_W_2,0.0
28398679_E_2,0.0
28398681_W_2,0.0
28398680_N_2,0.0
957265921_S_2,0.0
28398682_SW_2,0.0
28398680_S_2,0.0
28398689_SW_2,0.0
28398690_NE_2,0.0
957191259_NW_2,0.0
28398685_NE_2,0.0
28398687_W_2,0.0
28398688_N_2,0.0
28398684_NW_2,0.0
28398687_E_2,0.0
28398686_N_2,0.0
28398686_S_2,0.0
28398688_S_2,0.0
28398690_SW_2,0.0
28398697_E_2,0.0
28398696_W_2,0.0
28398698_W_2,0.0
28398697_W_2,0.0
127821390_E_2,0.0
28398710_W_2,0.0
127821387_NE_2,0.0
28398713_NW_2,0.0
127821388_S_2,0.0
127821390_W_2,0.0
127821389_W_2,0.0
28401244_E_2,0.0
1235010438_W_2,0.0
28400248_SW_2,0.0
120892609_SE_2,0.0
833174531_E_2,0.0
28400769_S_2,0.0
28400770_N_2,0.0
28400772_SW_2,0.0
28400773_N_2,0.0
28400777_S_2,0.0
28400778_N_2,0.0
819600478_W_2,0.0
28400806_W_2,0.0
28400807_E_2,0.0
28400811_N_2,0.0
1067473755_SE_2,0.0
28400820_NE_2,0.0
781853018_SW_2,0.0
28401244_W_2,0.0
812220115_E_2,0.0
28401245_NE_2,12.0
1234710610_SW_2,10.0
28401311_N_2,3.0
812222133_E_2,7.0
835944090_S_2,3.0
28401313_S_2,1.0
1192902869_E_2,0.0
1192902958_N_2,1.0
28401313_N_2,1.0
28401314_W_2,0.0
